ra,dec,parallax,source_id,phot_g_mean_mag,bp_rp,ticid,tmag,dist
259.84713714361965,-30.237230513322636,2.9361268934698783,4059186858708935424,9.380401,0.7745209,154855436,8.94,7.733196774376328e-05
259.6951784304042,-29.768468062970072,19.957747873169453,4059218641417114624,12.263929,1.9657965,81773947,11.24,0.00011007441335043167
258.9518653521774,-29.83880886209011,13.503165904514347,4059253168604060672,14.633779,2.3586893,79586998,13.51,0.00014367884242055319
259.62848216449686,-29.5559774558678,13.064281937000809,4059273239112656896,8.594594,0.7820425,81771365,8.15,0.0001425949241940523
259.9123789005964,-29.42272582299088,2.0467982809074,4059365838590700032,8.9758625,1.5728722,82537414,8.07,3.098072670882703e-05
259.6816047597319,-29.491306649429404,18.17359159590523,4059367449100568320,9.438601,1.0072432,81770639,8.86,0.00026359278433508483
260.1024920823263,-29.279966873670478,17.09764008068023,4059374565967010944,9.515303,1.0572948,82658962,8.9,0.00021391111852293244
259.8767928470855,-29.2938169455787,5.837349742887453,4059376661911977472,8.566803,0.87639046,81878438,8.07,1.772556579947666e-05
259.685219832039,-29.359508364832543,3.587250037335846,4059381884593930880,15.371961,2.087655,81769114,14.24,0.0001389863280240328
261.50060739930393,-29.63117371418507,6.408417087586677,4059452940511443840,16.10733,2.593915,87634195,14.73,2.782962521080283e-05
261.41940250625345,-29.551498681597707,9.439118053556856,4059457338558053376,8.716632,0.6137762,86850490,8.38,0.0001008445362981105
261.95144889062385,-29.51522160878917,17.81934564478566,4059470601421700864,15.046162,2.951972,88665215,13.66,8.985317962882427e-05
264.46614397254496,-29.86309754455539,12.462358356370014,4059997675414694912,14.26254,2.357194,200625849,13.03,0.0001127010912002007
264.39059728619844,-29.757014085301314,0.8443358758521249,4060002490155441280,11.1359825,0.8301897,200624064,10.62,1.4311074909315586e-05
259.2104429600413,-29.386695076916663,12.48982495666873,4107328322455782272,14.691994,2.6886234,80344117,13.33,0.00011212205146315479
259.18450353793423,-29.31159234635817,4.627275972947876,4107332509986848640,16.293459,2.4432383,80343338,15.04,0.00014112959143280717
259.06884892914354,-29.13800204175038,6.127409826205919,4107349591139912960,14.758857,2.1291428,79726109,13.62,0.00010657305528392095
258.4299943914748,-29.60718967222281,5.135339123846579,4107353400710783232,16.412493,2.5332022,78301528,15.14,8.279439027056687e-05
258.39176633430566,-29.19554259471613,14.601864241674157,4107381369560743040,13.865443,2.4538145,78290954,13.16,0.00015982235660866968
57.089482545556464,-89.77282387197687,5.972143944476528,4611690214612872320,10.850674,0.8551941,317328068,10.36,3.469184377594303e-05
73.09608804413155,-89.27380570545512,3.855262931444536,4611734916632361600,8.801818,0.35566616,410390728,8.63,1.4233542727947574e-05
15.629073167637626,-89.29878348562389,7.8500784849014,4611776594995149696,10.203382,0.7976389,405476976,9.73,7.149416532381097e-05
11.403765175377085,-89.16904501223853,6.1552729068677,4611782058193541248,9.500851,0.8391657,405467230,9.04,0.00010852672257698091
38.49288853934192,-88.92533291092919,7.479129686349586,4611812535281216896,11.13616,0.9713135,279799236,10.36,5.111185625112384e-05
76.90522168466804,-88.8702112226499,5.19512119344545,4611841874200628096,8.7138195,0.23328495,317154919,8.59,0.00010960977193126916
63.40899949896541,-88.94938259834628,6.116210628067023,4611849094043062784,11.495768,0.9560251,317351809,10.95,2.5354469270175796e-05
72.26168211591617,-88.27110661646796,2.08079059096305,4611896132524676480,6.1322927,2.4611459,323445628,4.78,6.400495664515062e-05
54.32833219519074,-88.64755059981269,0.6757856667383988,4611903622947825024,10.097933,2.1891127,435934070,8.94,5.803410174910669e-05
69.75402392883194,-88.1505921374786,9.29157267077953,4611944992072617088,10.091479,0.8580761,323434598,9.62,0.00010459719157265878
61.249773537528135,-87.96515390484518,5.721169281618387,4611965333037692800,10.821591,0.8490162,317337236,10.34,6.687766111105875e-05
7.811381248430728,-88.92167090883173,5.991642243982081,4611988663300577152,10.930705,0.8192463,410305216,10.45,3.7419315756254526e-05
